premise,hypothesis,label,explanation,human_explanation
Two young girls at the beach.,Two young girls at the ocean.,1,"The beach is a location that is often associated with the ocean, as they are typically adjacent to each other.",A beach is not always at the ocean and could be at a lake.
A man walks up to a red and yellow building to pay for gas on a gold but sunny day.,A person pays for a petroleum product.,0,A man paying for gas indicates that he is purchasing a petroleum product.,gas is a petroleum product.
Children play on a giant work of art.,Kids are seated at their desks in school.,2,"Children playing on a giant work of art suggests they are engaged in a creative and playful activity, which is different from being seated at desks in a structured school environment.",Desks in school aren't a giant work of art.
A woman is holding a bird while sitting in a flowering tree.,A woman is feeding a sick bird while sitting in a tree.,1,"The woman is holding a bird, which could imply she is caring for it, possibly because it is sick.",Sentence two may be talking about different woman.
Passerby admiring painting at an outdoor art fair.,Several passers by admiring many paintings at the art fair.,1,A passerby admiring a painting suggests that there are likely other passersby who may also be admiring various paintings at the art fair.,It is not implied that there are several passers by. There are not necessarily many paintings.
A girl swings on a rope swing.,The girl is on a tire swing.,2,"A girl on a rope swing is not necessarily on a tire swing, as they are different types of swings.",She cannot be on both a tire swing and a rope swing at the same time.
Two men in safety harnesses work together.,Two men are window washers.,1,"The premise describes two men in safety harnesses, which could imply they are performing a task that requires such equipment, but it does not specify that they are window washers.",Men being in safety harnesses does not imply they are window washers
A girl with long dark hair wearing a yellow and white shirt is smiling.,The girl has straight teeth.,1,"The girl's smile suggests she is happy, which may imply she takes care of her dental hygiene.",Not all girls have straight teeth.
Two women are crossing the street in front of an apartment building.,The women are outside.,0,"The women are in the process of crossing the street, which indicates they are in an outdoor environment.",The women are outside in front of an apartment building.
A view into a window of a seated person reading a newspaper and an old-timey black car.,A person watches TV in a minivan.,2,A person reading a newspaper does not imply they are watching TV in a minivan.,A car isn't the same as a minivan.
People are walking down the stairs through the fog.,Men are walking downstairs.,1,"The premise mentions ""people"" walking down the stairs, which can include men among them.",You cannot infer the people are men.
"People are walking through a market, browsing over merchandise and making purchases.",THe people are indoors.,1,"The premise describes people browsing and making purchases in a market, which typically occurs outdoors rather than indoors.",People can walk through a market without being indoors.
